Title,directors,year,durationMinutes,regionCode,rating,categories,copies
Shadow of the Meridian,Alex Carter,2018,112,2,15,"DRAMA, FICTION",6
City of Falling Lights,"Jamie Lee, Pat Morgan",2020,128,2,12,"DRAMA, MYSTERY",6
Echoes in the Station,Harriet Moore,2016,101,2,12,"THRILLER, FICTION",5
Children of the Tide,Samuel Price,2019,94,2,PG,"CHILDREN, FANTASY",9
Midnight Over Camden,Isobel Grant,2015,117,2,15,"THRILLER, MYSTERY",9
Fragments of Tomorrow,Luke Bennett,2021,109,2,12,"SCIENCE_FICTION, DRAMA",5
The Last Broadcast,"Nina Clarke, Tom Yates",2017,98,1,PG,"NONFICTION, HISTORY",7
Lines Across the Sky,Oliver Hayes,2022,123,1,12,"DRAMA, ROMANCE",9
Winter on the Hill,Grace Turner,2014,86,4,PG,"DRAMA, FICTION",5
The Glass Harbour,Ethan Ward,2018,105,ALL,15,"THRILLER, MYSTERY",1
Running the Distance,Maria Collins,2013,99,2,PG,"SPORTS, DRAMA",7
The Longest Night,Jacob Foster,2020,131,2,15,"THRILLER, HORROR",9
Parallel Lives,Sofia King,2011,92,2,PG,"FICTION, DRAMA",3
House on Red Street,Patrick Howard,2012,104,2,15,"HORROR, THRILLER",1
Signal in the Fog,Lauren Fraser,2019,96,2,12,"MYSTERY, DRAMA",1
Before the Flood,Daniel Cooper,2016,89,2,PG,"NONFICTION, HISTORY",6
The Quiet Library,Emily James,2018,93,1,PG,"MYSTERY, FICTION",6
Gravity of Silence,Adrian Wells,2017,110,1,15,"DRAMA, PSYCHOLOGY",2
Code of Glass,Rachel Young,2021,115,4,12,"THRILLER, TECHNOLOGY",10
Letters from Orion,Henry Scott,2015,102,ALL,PG,"SCIENCE_FICTION, FANTASY",5
Northbound Trains,Charlotte Reid,2013,88,2,PG,"TRAVEL, SOCIAL_SCIENCE",9
The Secret Algorithm,"Iain Mitchell, Zara Cole",2022,119,2,12,"TECHNOLOGY, THRILLER",3
Pages of September,Olivia Barker,2014,97,2,PG,"DRAMA, ROMANCE",6
Dreamers of the Yard,Noah Gray,2016,100,2,PG,"YOUNG_ADULT, DRAMA",3
A History of Rivers,Benjamin Hart,2011,84,2,U,"NONFICTION, GEOGRAPHY",3
The Invisible Goal,Chloe Summers,2017,92,2,PG,"SPORTS, CHILDREN",8
Mapping the Storm,Liam Brooks,2019,108,1,12,"SOCIAL_SCIENCE, DRAMA",3
The Golden Lecture,Amy Douglas,2015,90,1,PG,"EDUCATION, NONFICTION",2
Night at Platform Nine,George Phillips,2018,103,4,12,"FANTASY, CHILDREN",10
Sixteen Summers,Ella Knight,2020,106,ALL,12,"YOUNG_ADULT, ROMANCE",9
The Broken Telescope,Marcus Lane,2012,95,2,PG,"SCIENCE_FICTION, DRAMA",6
Phantom of the Circuit,Rebecca Shaw,2021,112,2,15,"TECHNOLOGY, THRILLER",6
Road to Caledonia,Fraser McNeil,2013,118,2,PG,"TRAVEL, HISTORY",6
The Tournament,Oscar Doyle,2016,99,2,PG,"SPORTS, YOUNG_ADULT",3
Echoes of the Classroom,Sarah Doyle,2014,87,2,U,"EDUCATION, SOCIAL_SCIENCE",2
Beneath the Stadium Lights,Connor Reid,2019,111,2,12,"SPORTS, DRAMA",2
Guardian of the Archive,Holly West,2015,94,1,PG,"MYSTERY, HISTORY",8
The Last Experiment,David Cole,2017,113,1,15,"SCIENCE_FICTION, PSYCHOLOGY",7
Tides of Memory,Imogen Blake,2012,96,4,PG,"DRAMA, ROMANCE",6
Beyond the Map,Neil Patterson,2020,121,ALL,12,"TRAVEL, ADVENTURE",9
The White Corridor,Abigail Rhodes,2018,99,2,15,"THRILLER, HORROR",4
Children of the Code,Jason Miller,2021,104,2,12,"YOUNG_ADULT, TECHNOLOGY",9
Festival of Stories,Clara Jennings,2013,83,2,U,"CHILDREN, FANTASY",8
Shadows on the Pitch,Ryan Gallagher,2016,101,2,PG,"SPORTS, DRAMA",3
Across the North Sea,Megan Boyd,2014,107,2,PG,"TRAVEL, HISTORY",4
The Secret Ingredient,Harriet Nolan,2019,93,2,PG,"COOKING, FAMILY",5
A Study in Blue,Kieran Holt,2011,88,1,12,"MYSTERY, DRAMA",2
Voices in the Theatre,Naomi Spencer,2015,110,1,12,"DRAMA, ART",4
The Mountain Library,Leo Vaughan,2018,97,4,PG,"FICTION, ADVENTURE",8
Exit Velocity,Isla Morgan,2022,116,ALL,12,"THRILLER, SCIENCE_FICTION",5
